area,area_code,proc_code,proc,comm_code,source_code,source,item_code,item,tcf
Botswana,20,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Botswana,20,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Botswana,20,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Botswana,20,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Botswana,20,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Botswana,20,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Botswana,20,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Botswana,20,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Brazil,21,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Brazil,21,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Brazil,21,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Brazil,21,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.69
Brazil,21,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.07
Brazil,21,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.094
Brazil,21,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Brazil,21,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Brazil,21,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Aruba,22,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Aruba,22,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Aruba,22,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Aruba,22,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Aruba,22,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Aruba,22,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Aruba,22,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Aruba,22,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Aruba,22,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
Belize,23,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Belize,23,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.092
Belize,23,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Belize,23,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Belize,23,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Belize,23,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Belize,23,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Belize,23,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Belize,23,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
British Indian Ocean Territory,24,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
British Indian Ocean Territory,24,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
British Indian Ocean Territory,24,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
British Indian Ocean Territory,24,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
British Indian Ocean Territory,24,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
British Indian Ocean Territory,24,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
British Indian Ocean Territory,24,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
British Indian Ocean Territory,24,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
British Indian Ocean Territory,24,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Solomon Islands,25,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Solomon Islands,25,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Solomon Islands,25,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Solomon Islands,25,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
Solomon Islands,25,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Solomon Islands,25,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Solomon Islands,25,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Solomon Islands,25,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Solomon Islands,25,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.85
Brunei Darussalam,26,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Brunei Darussalam,26,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Brunei Darussalam,26,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Brunei Darussalam,26,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Brunei Darussalam,26,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Brunei Darussalam,26,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
Brunei Darussalam,26,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Brunei Darussalam,26,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Brunei Darussalam,26,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Bulgaria,27,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Bulgaria,27,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Bulgaria,27,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Bulgaria,27,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Bulgaria,27,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.45
Bulgaria,27,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Bulgaria,27,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.1
Bulgaria,27,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Bulgaria,27,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Myanmar,28,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Myanmar,28,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.1
Myanmar,28,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Myanmar,28,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Myanmar,28,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.1
Myanmar,28,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Myanmar,28,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Myanmar,28,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Myanmar,28,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Burundi,29,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Burundi,29,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Burundi,29,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Burundi,29,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Burundi,29,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
